PurchaseFrequency;PurchaseCategories;PersonalizedRecommendationFrequency;BrowsingFrequency;ProductSearchMethod;SearchResultExploration;SaveforlaterFrequency
Less than once a month;Home and Kitchen;Sometimes;Few times a month;categories;Multiple pages;Rarely
Few times a month;Groceries and Gourmet Food;Sometimes;Multiple times a day;categories;Multiple pages;Rarely
Few times a month;Beauty and Personal Care;Yes;Few times a month;others;Multiple pages;Often
Once a week;Clothing and Fashion;Sometimes;Multiple times a day;categories;Multiple pages;Sometimes
Once a month;Beauty and Personal Care;Sometimes;Few times a month;Keyword;Multiple pages;Rarely
Few times a month;Beauty and Personal Care;Sometimes;Few times a month;categories;First page;Always
Once a week;Beauty and Personal Care;Sometimes;Few times a month;Filter;Multiple pages;Sometimes
Few times a month;Groceries and Gourmet Food;Sometimes;Few times a week;categories;Multiple pages;Sometimes
Few times a month;Beauty and Personal Care;Sometimes;Few times a week;Filter;Multiple pages;Sometimes
Multiple times a week;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Sometimes
Multiple times a week;Beauty and Personal Care;Yes;Few times a week;categories;Multiple pages;Always
Few times a month;Beauty and Personal Care;Sometimes;Multiple times a day;categories;Multiple pages;Often
Multiple times a week;Beauty and Personal Care;Yes;Few times a week;Filter;Multiple pages;Sometimes
Once a week;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Often
Once a week;Beauty and Personal Care;Sometimes;Few times a week;Keyword;Multiple pages;Sometimes
Multiple times a week;Beauty and Personal Care;Yes;Few times a week;Keyword;Multiple pages;Sometimes
Multiple times a week;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Sometimes
Few times a month;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Sometimes
Multiple times a week;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Always
Few times a month;Clothing and Fashion;Sometimes;Few times a week;Keyword;Multiple pages;Sometimes
Few times a month;Clothing and Fashion;Sometimes;Few times a week;categories;Multiple pages;Sometimes
Once a month;Clothing and Fashion;Sometimes;Few times a month;Filter;Multiple pages;Sometimes
Once a week;Beauty and Personal Care;Sometimes;Few times a week;Filter;Multiple pages;Sometimes
Multiple times a week;"Beauty and Personal Care;Home and Kitchen";Sometimes;Few times a month;Keyword;Multiple pages;Always
Multiple times a week;Beauty and Personal Care;Sometimes;Few times a month;categories;Multiple pages;Often
Once a week;Groceries and Gourmet Food;Sometimes;Few times a week;categories;Multiple pages;Always
Once a month;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Rarely
Few times a month;Beauty and Personal Care;Yes;Few times a week;Keyword;First page;Sometimes
Once a week;Beauty and Personal Care;Sometimes;Multiple times a day;categories;Multiple pages;Sometimes
Once a week;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Sometimes
Once a week;Clothing and Fashion;Sometimes;Few times a week;Filter;Multiple pages;Sometimes
Once a month;Beauty and Personal Care;Sometimes;Few times a week;categories;Multiple pages;Sometimes
Few times a month;"Beauty and Personal Care;Clothing and Fashion;others";Yes;Few times a month;Keyword;Multiple pages;Sometimes
Once a week;Clothing and Fashion;Sometimes;Multiple times a day;Keyword;Multiple pages;Sometimes
